Ticker,Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Volatility Week,Volatility Month
AAPL,Apple Inc,Technology,Consumer Electronics,USA,NASD,"DJIA, NDX, S&P 500",35.22,8.27,0.0012,14690000000.0,-0.0527,4275930000000.0005,30.21,0.1007,-0.022099999999999998,14670000000.0,-0.0259,4292130000000.0,2.37,1.89,0.6598999999999999,0.0106,0.16399999999999998,122580000000.0,9.47,0.1736,0.0,3.35,0.0443,451440000000.0,40.1,0.34909999999999997,155890000.0,0.0709,7.26,62.42,0.1273,1.4147,317.40 -8.28%,0.46149999999999997,4.66,33.1,6.89% 17.91%,0.6776000000000001,195.07 49.24%,0.584,1.08 (0.37%),26.83,1.81% 8.71%,0.47859999999999997,1.2861000000000002,1.05 (0.36%),9.51,0.2891,0.3264,7.32,10.7831,"May 11, 2026",1.02,0.1276,0.27149999999999996,44.05,1.98,4.26% 4.98%,1.07,0.22039999999999998,-0.042,1.09,318.45,0.1366,0.8,0.166,0.019799999999999998,0.83,295.63,166000.0,0.7,Apr 30 AMC,0.0909,46570000.0,291.13,"Dec 12, 1980",Yes / Yes,3.30% 1.58%,,38542774.0,-0.0152,0.0352,0.022400000000000003
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,NASD,"NDX, S&P 500",32.58,4.06,0.32659999999999995,419000000.0,-0.009399999999999999,79730000000.0,21.8,0.18460000000000001,-0.011000000000000001,399650000.0,-0.0052,70190000000.0,1.03,1.26,0.5882999999999999,0.0368,0.0473,2520000000.0,6.27,0.2712,-0.0097,4.01,0.0369,12710000000.0,10.31,0.09699999999999999,14730000.0,-0.0253,12.83,6.61,0.2126,0.3233,147.25 -10.17%,-0.047,20.02,17.56,13.17% -,0.2489,110.81 19.38%,0.0617,,25.58,13.58% 29.50%,0.7238,-0.10890000000000001,,5.52,0.0235,0.2089,4.34,,,1.44,0.1318,0.198,46.61,2.13,- -,1.44,0.07339999999999999,-0.006999999999999999,1.15,157.19,0.0,0.33,0.1787,-0.022799999999999997,0.71,130.87,8200.0,0.32,May 07 AMC,0.026000000000000002,3670000.0,132.28,"Dec 10, 2020",Yes / Yes,-14.50% 2.34%,,2611071.0,0.0108,0.0315,0.0322
ADBE,Adobe Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",11.67,17.48,0.002,404200000.0,-0.1886,82460000000.0,7.46,0.1263,-0.0888,403400000.0,-0.1358,83900000000.0,0.53,6.04,0.8331000000000001,0.0463,-0.18170000000000003,7230000000.0,3.27,0.159,-0.031400000000000004,3.22,-0.4054,25200000000.0,7.25,0.2491,18660000.0,-0.4171,28.16,14.66,0.1406,0.6295000000000001,416.39 -51.00%,-0.5068,13.92,7.99,18.25% 9.04%,0.43420000000000003,218.09 -6.45%,-0.5700999999999999,,8.46,10.89% 13.06%,0.8881999999999999,-0.6231,,3.33,0.12710000000000002,0.36329999999999996,11.35,1.1013,"Mar 24, 2005",0.91,0.1149,0.2869,29.38,2.52,- -,0.75,0.08039999999999999,-0.17079999999999998,1.43,276.32,0.0,0.61,0.12689999999999999,-0.16690000000000002,4.32,218.8,31360.0,0.45,Jun 11 AMC,-0.3161,5790000.0,204.02,"Aug 13, 1986",Yes / Yes,2.48% 2.54%,,25007240.0,-0.0676,0.0435,0.0391
ADI,Analog Devices Inc,Technology,Semiconductors,USA,NASD,"NDX, S&P 500",62.09,6.73,0.0028000000000000004,487090000.0,0.0409,203500000000.0,28.23,0.2057,-0.1261,485740000.0,-0.0338,208750000000.0,0.95,3.3,0.9007999999999999,0.0195,0.365,3310000000.0,15.97,0.5754,-0.0131,2.38,0.4838,12740000000.0,6.03,0.0695,9480000.0,0.5405,69.27,59.17,0.2966,0.0964,439.70 -4.98%,0.7998999999999999,7.06,44.58,-4.58% 6.82%,0.0809,218.37 91.32%,1.2263,4.25 (1.02%),33.86,-2.84% 14.49%,0.5861999999999999,1.4928,4.18 (1.00%),16.38,0.8332999999999999,0.3297,17.91,6.3348,"Jun 02, 2026",1.34,0.2975,0.2601,54.32,1.56,9.41% 10.14%,1.75,1.0973,0.016,1.18,457.9,0.8522,0.26,0.3725,0.0622,0.75,412.13,24500.0,0.21,May 20 BMO,0.3605,3990000.0,417.79,"Apr 03, 1979",Yes / Yes,7.03% 3.14%,,2982923.0,0.0137,0.0483,0.0407
ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",21.09,10.73,0.0018,400600000.0,-0.024700000000000003,90420000000.0,18.56,0.1011,-0.0043,399030000.0,0.0843,91590000000.0,1.85,2.59,0.8747,0.0384,0.0848,4350000000.0,4.19,0.106,0.0271,4.77,-0.1277,21600000000.0,14.27,0.0719,15330000.0,-0.1206,15.85,28.01,0.1001,0.7120000000000001,315.98 -28.41%,-0.2697,8.08,17.08,12.54% 11.86%,0.4082,188.16 20.22%,0.0359,6.51 (2.88%),14.51,7.61% 7.10%,0.5057,0.133,6.64 (2.94%),4.24,0.0971,0.2651,6.07,1.5974000000000002,"Jun 12, 2026",1.04,0.0692,0.20120000000000002,55.03,2.71,14.12% 11.33%,1.04,0.1045,0.0052,0.83,246.64,0.6031,0.69,0.0695,0.0645,0.68,225.77,67000.0,0.68,Apr 29 BMO,-0.0754,3210000.0,226.21,"Jun 26, 1967",Yes / Yes,2.23% 1.49%,,2189772.0,0.0019,0.0217,0.025699999999999997
ADSK,Autodesk Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",28.99,6.84,0.0036,211000000.0,-0.1371,41870000000.0,13.98,0.1268,0.0045000000000000005,210240000.0,-0.1411,41670000000.0,0.87,3.12,0.9368000000000001,0.0311,-0.21,1460000000.0,5.57,0.2078,0.0111,3.07,-0.33880000000000005,7520000000.0,13.13,0.12990000000000002,6530000.0,-0.3297,15.11,14.32,0.15990000000000001,0.504,329.09 -39.70%,-0.3354,13.86,15.34,11.46% -0.79%,0.24969999999999998,204.80 -3.11%,-0.04650000000000001,,21.93,13.34% 13.69%,0.8568000000000001,-0.285,,5.54,0.4642,0.2248,10.19,2.532,"Mar 22, 2005",0.83,0.1888,0.1946,28.19,1.31,- -,0.83,2.2912,-0.1464,1.31,323.39,0.0,0.85,0.1963,-0.1585,2.63,205.57,14300.0,0.84,May 28 AMC,-0.2702,2130000.0,198.43,"Jun 28, 1985",Yes / Yes,5.15% 2.15%,,5599457.0,-0.0347,0.0489,0.0405
AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA,NASD,"NDX, S&P 500",19.11,6.76,0.0032,543970000.0,0.0007000000000000001,70310000000.0,18.86,0.0788,-0.006,542350000.0,0.01,122710000000.0,2.29,1.51,0.8243,0.0594,-0.032799999999999996,3650000000.0,3.14,0.064,0.0002,8.26,0.132,22380000000.0,2.21,0.0329,32210000.0,0.1207,58.47,128.08,0.0825,0.12359999999999999,139.44 -7.32%,0.2544,1.01,,14.02% 8.53%,0.0461,100.72 28.31%,0.5442,3.86 (2.99%),13.77,4.09% 7.88%,0.3177,0.5246999999999999,3.78 (2.93%),5.48,0.31120000000000003,0.2439,2.37,0.9331,"May 08, 2026",0.39,0.09380000000000001,0.16329999999999997,50.45,2.08,5.67% 5.66%,0.53,0.0675,0.009000000000000001,0.51,144.32,0.5615,1.63,0.0672,-0.0167,1.07,128.48,17581.0,1.49,May 05 BMO,0.0545,3900000.0,129.23,"Sep 01, 1949",Yes / Yes,4.61% 5.32%,,4155634.0,0.0058,0.0165,0.0174
ALNY,Alnylam Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,NDX,67.21,4.21,0.0043,133440000.0,-0.0667,37760000000.0,26.52,0.42340000000000005,-0.1223,132940000.0,-0.0296,37730000000.0,0.34,1.63,0.9879000000000001,0.039900000000000005,-0.0975,577220000.0,8.81,2.2163999999999997,0.0006,4.78,-0.3007,4290000000.0,35.1,0.12359999999999999,5300000.0,-0.2887,8.06,12.55,0.7843000000000001,0.9693999999999999,495.55 -42.92%,-0.0716,22.54,58.88,- -,0.153,283.10 -0.09%,0.46490000000000004,,46.75,52.98% 49.77%,0.8083,0.7140000000000001,,8.8,3.0845,0.1754,10.42,3.4776,,3.06,0.8256999999999999,0.1346,40.23,1.71,- -,3.13,4.4032,-0.0406,0.28,443.88,0.0,2.76,0.9643,-0.0691,1.28,289.39,2500.0,2.51,Apr 30 BMO,-0.25120000000000003,1110000.0,282.85,"May 28, 2004",Yes / Yes,73.26% 4.63%,,1418958.0,-0.0226,0.037200000000000004,0.0336
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,NASD,"NDX, S&P 500",53.3,10.64,0.0046,793960000.0,0.2522,450370000000.0,34.54,0.3428,-0.0177,790320000.0,0.2992,449400000000.0,1.23,3.36,0.8187000000000001,0.0252,0.6609,8510000000.0,15.52,0.2984,-0.0139,2.78,1.0615999999999999,29020000000.0,18.84,0.2302,19950000.0,1.2073,30.11,54.65,0.2814,0.3969,557.62 1.73%,2.2414,10.38,84.29,5.19% 17.18%,0.2849,154.46 267.24%,3.0515,1.84 (0.32%),48.67,3.37% 10.52%,0.48960000000000004,3.1460000000000004,1.91 (0.34%),15.48,0.2952,0.3013,29.7,22.5667,"Aug 20, 2026",1.8,0.0335,0.29309999999999997,74.01,1.48,20.39% 15.39%,2.51,0.3344,0.21230000000000002,1.6,526.48,0.20550000000000002,0.3,0.11410000000000001,0.32780000000000004,1.12,552.64,36500.0,0.25,May 14 AMC,0.8344,7170000.0,567.25,"Nov 01, 1982",Yes / Yes,6.73% 2.95%,,8029268.0,0.0264,0.0768,0.0537
AMD,Advanced Micro Devices Inc,Technology,Semiconductors,USA,NASD,"NDX, S&P 500",167.9,3.05,0.0049,1630000000.0,0.0969,834170000000.0,38.59,0.7754000000000001,-0.0742,1620000000.0,0.1483,825680000000.0,0.62,1.6,0.6829000000000001,0.027200000000000002,1.6453,5010000000.0,22.27,0.7908,-0.009000000000000001,1.18,1.3104,37450000000.0,12.94,0.0652,44070000.0,1.3887,39.55,67.5,0.6252,0.0806,546.44 -6.38%,3.3169999999999997,7.58,97.29,46.65% 5.13%,0.07429999999999999,115.06 344.61%,2.9598,,111.82,13.64% 28.82%,0.47090000000000004,5.2916,,22.05,1.2387000000000001,0.1165,32.39,117.419,,1.96,0.3497,0.13369999999999999,60.45,1.53,- -,2.72,0.9225,0.061399999999999996,2.49,492.52,0.0,0.06,0.3785,0.3226,0.84,488.45,31000.0,0.05,May 05 AMC,1.0146,37440000.0,511.57,"Oct 15, 1979",Yes / Yes,6.24% 3.57%,,31508237.0,0.0473,0.0766,0.060599999999999994
